leading_item_id,following_item_id,value
AXULOHBQ,KEUWZRKO,792978
AXULOHBQ,KJNSOAHR,24697812
AXULOHBQ,LPHPPJUG,1200427
AXULOHBQ,LRVGFDFM,2260141
AXULOHBQ,LTOYKIML,387868
AXULOHBQ,LUENUFGA,3469355
AXULOHBQ,MIRCVAMV,84204
AXULOHBQ,NAQIHUKZ,44976
AXULOHBQ,NZKBIBNU,261014
AXULOHBQ,OGAFEHLU,46332
AXULOHBQ,OKMBFVKS,1938111
AXULOHBQ,PYZMVUWD,23421
AXULOHBQ,QJQJSWFU,141778
AXULOHBQ,QRKRBYJL,2179746
AXULOHBQ,RCBZUSIM,12521
AXULOHBQ,RJGPVEXX,623192
AXULOHBQ,SAHWCZNH,1751562
AXULOHBQ,SDWAYPIK,5229038
AXULOHBQ,SUOYXCHP,28288
AXULOHBQ,UQYUIVVR,6072233
AXULOHBQ,UXSPKBJR,399572
AXULOHBQ,VMAQSTJE,18327
AXULOHBQ,VUAFAIYJ,865439
AXULOHBQ,VWMBASNE,138307
AXULOHBQ,WBLJNPZQ,152833
AXULOHBQ,WHPUAOID,47115
AXULOHBQ,WPQXWHYO,18798460
AXULOHBQ,WQMVCOEM,19885
AXULOHBQ,XIFHSOWQ,92617
AXULOHBQ,XIPPENFQ,128061
AXULOHBQ,XUOIQPFL,2494327
AXULOHBQ,ZGJXVMNI,2683353
AXULOHBQ,ZKENOUDA,419025
AXULOHBQ,ZXERAXWP,56018
BEZYMBBT,AANGBULD,446252
BEZYMBBT,AHMDUILJ,143284
BEZYMBBT,APQGTRMF,69111
BEZYMBBT,ATLDMDBO,36694684
BEZYMBBT,AXULOHBQ,116347
BEZYMBBT,BJALXPFS,155871
BEZYMBBT,DBWLZWNK,183310
BEZYMBBT,DNMPSKTB,5404418
BEZYMBBT,ELQGMQWE,658978
BEZYMBBT,EVBVXETX,5071114
BEZYMBBT,FDXPMYGF,27248
BEZYMBBT,FITUEHWN,114985
BEZYMBBT,FQCLOEXA,2292815
BEZYMBBT,FRHNWLNI,922817
BEZYMBBT,FTSVTTSR,187147
BEZYMBBT,FWUCPMMW,29797
BEZYMBBT,GKQIJYDH,4470195
BEZYMBBT,GYHKIVQT,32041498
BEZYMBBT,HXYSSRXE,4872956
BEZYMBBT,IGDVVKUD,28977
BEZYMBBT,JPBRUTWP,6374098
BEZYMBBT,JSLXRQOK,27150
BEZYMBBT,KAGJCHMR,37172
BEZYMBBT,KEUWZRKO,817684
BEZYMBBT,KJNSOAHR,25772994
BEZYMBBT,LLHREMKS,80671
BEZYMBBT,LPHPPJUG,1170411
BEZYMBBT,LTOYKIML,356342
BEZYMBBT,LUENUFGA,3516083
BEZYMBBT,MIRCVAMV,81621
BEZYMBBT,NZKBIBNU,270166
BEZYMBBT,OGAFEHLU,42778
BEZYMBBT,OKMBFVKS,1870530
BEZYMBBT,OXKURKXR,131740
BEZYMBBT,PYZMVUWD,19199
BEZYMBBT,QJQJSWFU,130613
BEZYMBBT,QRKRBYJL,2020193
BEZYMBBT,QVLMOEYE,1151737
BEZYMBBT,RAWUKQMJ,3686235
BEZYMBBT,RCBZUSIM,5717
BEZYMBBT,RJGPVEXX,608516
BEZYMBBT,SAAYMURU,54799
BEZYMBBT,SAHWCZNH,1666526
BEZYMBBT,SDWAYPIK,5398769
BEZYMBBT,STZDBITS,21790212
BEZYMBBT,TGOELCAG,299949
BEZYMBBT,UGEQLMXM,263825
BEZYMBBT,UIFPPCLR,137684
BEZYMBBT,UXSPKBJR,389554
BEZYMBBT,VBYCLTYZ,425980
BEZYMBBT,VMAQSTJE,9687
BEZYMBBT,VUAFAIYJ,861830
BEZYMBBT,VWMBASNE,142728
BEZYMBBT,WBLJNPZQ,146480
BEZYMBBT,WPQXWHYO,21575510
BEZYMBBT,WQMVCOEM,23554
BEZYMBBT,XIIEJNEE,73740
BEZYMBBT,XIPPENFQ,129226
BEZYMBBT,XMKRPGLB,854080
BEZYMBBT,XUOIQPFL,2335574
BEZYMBBT,YSYHGLQK,25380
BEZYMBBT,ZCELVYQU,219609
BEZYMBBT,ZGJXVMNI,2595914
BEZYMBBT,ZKENOUDA,414268
BEZYMBBT,ZXERAXWP,55523
BJALXPFS,AHMDUILJ,138882
BJALXPFS,APQGTRMF,78166
BJALXPFS,ATLDMDBO,37206972
BJALXPFS,AXULOHBQ,121399
BJALXPFS,BEZYMBBT,3250020
BJALXPFS,BSRMSVTC,282259
BJALXPFS,BTMOEMEP,4717222
BJALXPFS,DBWLZWNK,186961
BJALXPFS,DDEXPPXU,13015
BJALXPFS,DNMPSKTB,5473190
BJALXPFS,DUCMGGNW,919962
BJALXPFS,ELQGMQWE,656564
BJALXPFS,EVBVXETX,5123676
BJALXPFS,FDXPMYGF,25710
BJALXPFS,FITUEHWN,113197
BJALXPFS,GYHKIVQT,34250504
BJALXPFS,HCDTGMST,107475
BJALXPFS,HXYSSRXE,5512944
BJALXPFS,IGDVVKUD,30082
BJALXPFS,JBVHSUWY,423626
BJALXPFS,JERHKLYW,26016
BJALXPFS,JPBRUTWP,6915522
BJALXPFS,KEUWZRKO,861150
BJALXPFS,LPHPPJUG,1191450
BJALXPFS,LTOYKIML,380858
BJALXPFS,MBSBZBXA,4046430
BJALXPFS,MIRCVAMV,90118
BJALXPFS,OGAFEHLU,47683
BJALXPFS,OKMBFVKS,1901421
BJALXPFS,PYZMVUWD,21862
BJALXPFS,QJQJSWFU,139172
BJALXPFS,QRKRBYJL,2046919
BJALXPFS,QVLMOEYE,1202116
BJALXPFS,RAWUKQMJ,3572436
BJALXPFS,RCBZUSIM,11848
BJALXPFS,RJGPVEXX,598673
BJALXPFS,SAAYMURU,52134
BJALXPFS,SDWAYPIK,5406830
BJALXPFS,SNHYOVBM,288470
BJALXPFS,UGEQLMXM,266521
BJALXPFS,UIFPPCLR,141829
BJALXPFS,VMAQSTJE,21707
BJALXPFS,VWMBASNE,140816
BJALXPFS,WBLJNPZQ,152310
BJALXPFS,WHPUAOID,49032
BJALXPFS,WPQXWHYO,21833854
BJALXPFS,XIFHSOWQ,101904
BJALXPFS,XIPPENFQ,137114
BJALXPFS,XMKRPGLB,787297
BJALXPFS,XUOIQPFL,2494066
BJALXPFS,YSYHGLQK,26545
BJALXPFS,ZKENOUDA,418431
BLANHGYY,AHMDUILJ,137916
BLANHGYY,APQGTRMF,75147
BLANHGYY,AXULOHBQ,118026
BLANHGYY,BEZYMBBT,3332815
BLANHGYY,BJALXPFS,191309
BLANHGYY,BSRMSVTC,292324
BLANHGYY,BTMOEMEP,4279178
BLANHGYY,CCLHWFWF,13916400
BLANHGYY,DBWLZWNK,190163
BLANHGYY,DDEXPPXU,9996
BLANHGYY,DJBLNPNC,23421
BLANHGYY,DNMPSKTB,5543178
BLANHGYY,DUCMGGNW,936304
BLANHGYY,EVBVXETX,5043421
BLANHGYY,FCYBOAXC,114713240
BLANHGYY,FDXPMYGF,60485
BLANHGYY,FITUEHWN,117021
BLANHGYY,FQCLOEXA,2408370
BLANHGYY,FRHNWLNI,870798
BLANHGYY,FWUCPMMW,34071
BLANHGYY,HCDTGMST,111999
BLANHGYY,HXYSSRXE,5633726
BLANHGYY,IGDVVKUD,32904
BLANHGYY,JBVHSUWY,421972
BLANHGYY,JPBRUTWP,6695726
BLANHGYY,JSLXRQOK,24992
BLANHGYY,KEUWZRKO,798539
BLANHGYY,LPHPPJUG,1202014
BLANHGYY,LRVGFDFM,2320888
BLANHGYY,LTOYKIML,394572
BLANHGYY,LUENUFGA,3604200
BLANHGYY,MBSBZBXA,4060031
BLANHGYY,MIRCVAMV,86390
BLANHGYY,NAQIHUKZ,45783
BLANHGYY,NZKBIBNU,271835
BLANHGYY,OGAFEHLU,45783
BLANHGYY,OJIFIHMZ,3369164
BLANHGYY,OXKURKXR,139360
BLANHGYY,PYZMVUWD,26946
BLANHGYY,QJQJSWFU,138588
BLANHGYY,QKXNTIIB,1298174
BLANHGYY,QRKRBYJL,2125450
BLANHGYY,RAWUKQMJ,3565046
BLANHGYY,RCBZUSIM,15607
BLANHGYY,RJGPVEXX,645823
BLANHGYY,SAHWCZNH,1750270
BLANHGYY,SDWAYPIK,5286623
BLANHGYY,STZDBITS,21145948
BLANHGYY,SUOYXCHP,22329
BLANHGYY,TGOELCAG,304461
BLANHGYY,UIFPPCLR,144015
BLANHGYY,UQYUIVVR,4898294
BLANHGYY,UXSPKBJR,400624
BLANHGYY,VMAQSTJE,22815
BLANHGYY,VWMBASNE,141933
BLANHGYY,WBLJNPZQ,151454
BLANHGYY,WHPUAOID,47180
BLANHGYY,WPQXWHYO,18659770
BLANHGYY,WQMVCOEM,26946
BLANHGYY,XIFHSOWQ,94804
BLANHGYY,XIPPENFQ,131771
BLANHGYY,XUOIQPFL,2579657
BLANHGYY,ZGJXVMNI,2690064
BLANHGYY,ZKENOUDA,435922
BLANHGYY,ZXERAXWP,57356
BSRMSVTC,AHMDUILJ,143605
BSRMSVTC,ATLDMDBO,33257932
BSRMSVTC,BEZYMBBT,3254850
BSRMSVTC,BLANHGYY,79599
BSRMSVTC,DBWLZWNK,171033
BSRMSVTC,DDEXPPXU,11356
BSRMSVTC,DEWLVASR,398818
BSRMSVTC,DJBLNPNC,22197
BSRMSVTC,DNMPSKTB,5048370
BSRMSVTC,DUCMGGNW,909481
BSRMSVTC,EVBVXETX,5166277
BSRMSVTC,FDXPMYGF,21057
BSRMSVTC,FITUEHWN,109971
BSRMSVTC,FQCLOEXA,2358607
BSRMSVTC,FRHNWLNI,942358
BSRMSVTC,FTSVTTSR,163947
BSRMSVTC,FWUCPMMW,24654
BSRMSVTC,GKQIJYDH,4977743
BSRMSVTC,HCDTGMST,107298
BSRMSVTC,HXYSSRXE,5670035
BSRMSVTC,IGDVVKUD,23347
BSRMSVTC,JBVHSUWY,423284
BSRMSVTC,JPBRUTWP,6546674
BSRMSVTC,JSLXRQOK,23409
BSRMSVTC,KEUWZRKO,849727
BSRMSVTC,LLHREMKS,68260
BSRMSVTC,LRVGFDFM,2306702
BSRMSVTC,LSOIUSXD,249542
BSRMSVTC,LTOYKIML,375693
BSRMSVTC,LUENUFGA,3591323
BSRMSVTC,MBSBZBXA,4069812
BSRMSVTC,MIRCVAMV,88021
BSRMSVTC,NAQIHUKZ,40217
BSRMSVTC,NZKBIBNU,252485
BSRMSVTC,OGAFEHLU,42856
BSRMSVTC,OJIFIHMZ,3310212
BSRMSVTC,OXKURKXR,135885
BSRMSVTC,PYZMVUWD,26220
BSRMSVTC,QJQJSWFU,138411
BSRMSVTC,QRKRBYJL,2150502
BSRMSVTC,RJGPVEXX,602621
BSRMSVTC,ROACSLMG,2182744
BSRMSVTC,SAAYMURU,43811
BSRMSVTC,SAHWCZNH,1715381
BSRMSVTC,SDWAYPIK,5212194
BSRMSVTC,SNHYOVBM,289156
BSRMSVTC,STZDBITS,19829858
BSRMSVTC,SUOYXCHP,19751
BSRMSVTC,TGOELCAG,287788
BSRMSVTC,UIFPPCLR,144404
BSRMSVTC,UQYUIVVR,6216910
BSRMSVTC,UXSPKBJR,402204
BSRMSVTC,VMAQSTJE,11967
BSRMSVTC,VWMBASNE,133698
BSRMSVTC,WBLJNPZQ,148516
BSRMSVTC,WPQXWHYO,19141758
BSRMSVTC,WQMVCOEM,25190
BSRMSVTC,XIFHSOWQ,96420
BSRMSVTC,XIIEJNEE,69068
BSRMSVTC,XIPPENFQ,130063
BSRMSVTC,XMKRPGLB,804449
BSRMSVTC,XUOIQPFL,2514472
BSRMSVTC,ZGJXVMNI,2651680
BSRMSVTC,ZKENOUDA,422922
BTMOEMEP,AANGBULD,449380
BTMOEMEP,AHMDUILJ,137684
BTMOEMEP,APQGTRMF,64236
BTMOEMEP,ATLDMDBO,41005300
BTMOEMEP,AXULOHBQ,103670
BTMOEMEP,BEZYMBBT,3203703
BTMOEMEP,BJALXPFS,143541
BTMOEMEP,BLANHGYY,68233
BTMOEMEP,BSRMSVTC,248845
BTMOEMEP,CCLHWFWF,13120744
BTMOEMEP,DBWLZWNK,173070
BTMOEMEP,DEWLVASR,396972
BTMOEMEP,DJBLNPNC,16040
BTMOEMEP,DNMPSKTB,4707502
BTMOEMEP,ELQGMQWE,660390
BTMOEMEP,EVBVXETX,5130764
BTMOEMEP,FCYBOAXC,111035496
BTMOEMEP,FDXPMYGF,11170
BTMOEMEP,FITUEHWN,114400
BTMOEMEP,FQCLOEXA,2336979
BTMOEMEP,FRHNWLNI,901132
BTMOEMEP,GYHKIVQT,34169316
BTMOEMEP,HXYSSRXE,4809324
BTMOEMEP,IGDVVKUD,17276
BTMOEMEP,JBVHSUWY,406469
BTMOEMEP,JPBRUTWP,6184037
BTMOEMEP,JSLXRQOK,28392
BTMOEMEP,KEUWZRKO,739783
BTMOEMEP,KJNSOAHR,25616716
BTMOEMEP,LPHPPJUG,1183168
BTMOEMEP,LRVGFDFM,2170000
BTMOEMEP,LTOYKIML,377444
BTMOEMEP,LUENUFGA,3257558
BTMOEMEP,MIRCVAMV,79114
BTMOEMEP,NZKBIBNU,272405
BTMOEMEP,OGAFEHLU,35323
BTMOEMEP,OKMBFVKS,1838614
BTMOEMEP,OXKURKXR,128493
BTMOEMEP,PYZMVUWD,11819
BTMOEMEP,QJQJSWFU,127856
BTMOEMEP,QRKRBYJL,1977744
BTMOEMEP,QVLMOEYE,1173893
BTMOEMEP,RAWUKQMJ,3644444
BTMOEMEP,RCBZUSIM,195
BTMOEMEP,RJGPVEXX,597010
BTMOEMEP,ROACSLMG,2138250
BTMOEMEP,SAHWCZNH,1668886
BTMOEMEP,SDWAYPIK,5194800
BTMOEMEP,SUOYXCHP,12249
BTMOEMEP,TGOELCAG,292267
BTMOEMEP,UGEQLMXM,245881
BTMOEMEP,UIFPPCLR,128682
BTMOEMEP,UXSPKBJR,408277
BTMOEMEP,VBYCLTYZ,418851
BTMOEMEP,VMAQSTJE,12897
BTMOEMEP,VWMBASNE,128740
BTMOEMEP,WBLJNPZQ,147257
BTMOEMEP,WPQXWHYO,20727636
BTMOEMEP,WQMVCOEM,14128
BTMOEMEP,XIFHSOWQ,84135
BTMOEMEP,XIIEJNEE,55850
BTMOEMEP,XIPPENFQ,117215
BTMOEMEP,XUOIQPFL,2370553
BTMOEMEP,YSYHGLQK,19191
BTMOEMEP,ZCELVYQU,220238
BTMOEMEP,ZGJXVMNI,2568100
BTMOEMEP,ZKENOUDA,421450
BUZIIBYG,AHMDUILJ,134437
BUZIIBYG,APQGTRMF,67805
BUZIIBYG,BEZYMBBT,3160505
BUZIIBYG,BJALXPFS,149283
BUZIIBYG,BSRMSVTC,257110
BUZIIBYG,BTMOEMEP,3853927
BUZIIBYG,DBWLZWNK,180884
BUZIIBYG,DJBLNPNC,18021
BUZIIBYG,DNMPSKTB,4993216
BUZIIBYG,FCYBOAXC,113975992
BUZIIBYG,FDXPMYGF,13666
BUZIIBYG,FITUEHWN,99771
BUZIIBYG,FQCLOEXA,2326860
BUZIIBYG,FRHNWLNI,913716
BUZIIBYG,FWUCPMMW,16795
BUZIIBYG,GYHKIVQT,35943084
BUZIIBYG,HCDTGMST,116197
BUZIIBYG,HXYSSRXE,5033802
BUZIIBYG,IGDVVKUD,23151
BUZIIBYG,JERHKLYW,29449
BUZIIBYG,JPBRUTWP,6146140
BUZIIBYG,KEUWZRKO,816250
BUZIIBYG,KJNSOAHR,26408052
BUZIIBYG,LPHPPJUG,1160636
BUZIIBYG,LRVGFDFM,2212038
BUZIIBYG,LSOIUSXD,234506
BUZIIBYG,LTOYKIML,377444
BUZIIBYG,LUENUFGA,3460850
BUZIIBYG,MIRCVAMV,78167
BUZIIBYG,NZKBIBNU,247479
BUZIIBYG,OGAFEHLU,35323
BUZIIBYG,PYZMVUWD,16026
BUZIIBYG,QJQJSWFU,131652
BUZIIBYG,QVLMOEYE,1164669
BUZIIBYG,RCBZUSIM,0
BUZIIBYG,RJGPVEXX,583305
BUZIIBYG,ROACSLMG,2092667
BUZIIBYG,SAHWCZNH,1663989
BUZIIBYG,SDWAYPIK,5242381
BUZIIBYG,SNHYOVBM,289396
BUZIIBYG,STZDBITS,21119962
BUZIIBYG,SUOYXCHP,19555
BUZIIBYG,TGOELCAG,304250
BUZIIBYG,UGEQLMXM,253796
BUZIIBYG,UXSPKBJR,385140
BUZIIBYG,VWMBASNE,134597
